,duration_ms,data_size,n_queries,is_peak_hour,server_load
duration_ms,1.0,0.19396706915086795,0.8619875190573165,0.13943444120203172,-0.0477353742769608
data_size,0.19396706915086795,1.0,0.48415597298678387,0.09425214602814189,0.055151847175515904
n_queries,0.8619875190573165,0.48415597298678387,1.0,0.0208190933540581,-0.00950431461312195
is_peak_hour,0.13943444120203172,0.09425214602814189,0.0208190933540581,1.0,-0.053424959337473786
server_load,-0.0477353742769608,0.055151847175515904,-0.00950431461312195,-0.053424959337473786,1.0
